Using launch settings from src\PoLocalCompare.Api\Properties\launchSettings.json...
Building...
[10:12:55 INF] Ensured Azure Table Storage table exists: Models
[10:12:55 INF] Ensured Azure Table Storage table exists: Duels
[10:12:55 INF] Ensured Azure Table Storage table exists: DuelResults
[10:12:55 INF] Ensured Azure Table Storage table exists: EloHistory
[10:14:02 INF] HTTP GET /_framework/System.Threading.Channels.s3i62rxr2p.wasm responded 200 in 6.8454 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Tasks.Dataflow.p9bjzp5pyo.wasm responded 200 in 6.5497 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Tasks.Extensions.unp0hcfijn.wasm responded 200 in 7.6087 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Tasks.t0sjw89o0i.wasm responded 200 in 5.7844 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Thread.nfbg9v9bn0.wasm responded 200 in 5.9184 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Tasks.Parallel.hyku0ejwye.wasm responded 200 in 7.8334 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.Timer.y8l1kxazi5.wasm responded 200 in 5.2624 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.ThreadPool.jrzo6stg1k.wasm responded 200 in 6.5143 ms
[10:14:02 INF] HTTP GET /_framework/System.Threading.47ucbn1gg1.wasm responded 200 in 7.3525 ms
[10:14:02 INF] HTTP GET /_framework/System.Transactions.pl50n6qbg7.wasm responded 200 in 6.1200 ms
[10:14:02 INF] HTTP GET /_framework/System.ValueTuple.mj3r9p0pcw.wasm responded 200 in 6.9663 ms
[10:14:02 INF] HTTP GET /_framework/System.Transactions.Local.cig01jt23c.wasm responded 200 in 7.4517 ms
[10:14:02 INF] HTTP GET /_framework/System.Web.2a6wq9gv6d.wasm responded 200 in 7.1377 ms
[10:14:02 INF] HTTP GET /_framework/System.Web.HttpUtility.3jfxpyq4in.wasm responded 200 in 7.1903 ms
[10:14:02 INF] HTTP GET /_framework/System.Xml.ReaderWriter.szsdminork.wasm responded 200 in 5.4503 ms
[10:14:02 INF] HTTP GET /_framework/System.Xml.Linq.nvnhbwdsg6.wasm responded 200 in 6.1614 ms
[10:14:02 INF] HTTP GET /_framework/System.Windows.bw79ix589z.wasm responded 200 in 6.3544 ms
[10:14:02 INF] HTTP GET /_framework/System.Xml.Serialization.b9imguls9w.wasm responded 200 in 5.5032 ms
[10:14:02 INF] HTTP GET /_framework/System.Xml.XPath.XDocument.g7i5gd64yo.wasm responded 200 in 5.9106 ms
[10:14:02 INF] HTTP GET /_framework/System.Xml.XDocument.8hg6c0at0c.wasm responded 200 in 9.4575 ms
